ring_id,ring_type,camouflage_level,account_id,is_adversarial,attack_id
ring_f8563ec26b,shared_infra_promo_abuse,easy,customer_f618f66fbf,False,
ring_f8563ec26b,shared_infra_promo_abuse,easy,customer_44b7faaa8b,False,
ring_f8563ec26b,shared_infra_promo_abuse,easy,customer_f6c06a942a,False,
ring_f8563ec26b,shared_infra_promo_abuse,easy,customer_30813d3b62,False,
ring_f8563ec26b,shared_infra_promo_abuse,easy,customer_967b58b91b,False,
ring_f8563ec26b,shared_infra_promo_abuse,easy,customer_265c1ea706,False,
ring_832789bb8b,shared_infra_promo_abuse,easy,customer_0f7b636fc3,False,
ring_832789bb8b,shared_infra_promo_abuse,easy,customer_c7d4ef85d0,False,
ring_832789bb8b,shared_infra_promo_abuse,easy,customer_26be28e7f5,False,
ring_832789bb8b,shared_infra_promo_abuse,easy,customer_0b13d86853,False,
ring_832789bb8b,shared_infra_promo_abuse,easy,customer_03b94231a2,False,
ring_832789bb8b,shared_infra_promo_abuse,easy,customer_9cf4dc280d,False,
ring_832789bb8b,shared_infra_promo_abuse,easy,customer_be1d62bfb7,False,
ring_832789bb8b,shared_infra_promo_abuse,easy,customer_4400787453,False,
ring_832789bb8b,shared_infra_promo_abuse,easy,customer_98a0646638,False,
ring_832789bb8b,shared_infra_promo_abuse,easy,customer_9ecc816405,False,
ring_832789bb8b,shared_infra_promo_abuse,easy,customer_0f9665d525,False,
ring_832789bb8b,shared_infra_promo_abuse,easy,customer_6525672840,False,
ring_832789bb8b,shared_infra_promo_abuse,easy,customer_58ae15a483,False,
ring_717f60762d,shared_infra_promo_abuse,easy,customer_5a392b5bec,False,
ring_717f60762d,shared_infra_promo_abuse,easy,customer_28188568ce,False,
ring_717f60762d,shared_infra_promo_abuse,easy,customer_0ede044656,False,
ring_717f60762d,shared_infra_promo_abuse,easy,customer_54cbdcd9b4,False,
ring_717f60762d,shared_infra_promo_abuse,easy,customer_bd537c8637,False,
ring_717f60762d,shared_infra_promo_abuse,easy,customer_99bdaf1dc9,False,
ring_717f60762d,shared_infra_promo_abuse,easy,customer_bb4e0db686,False,
ring_717f60762d,shared_infra_promo_abuse,easy,customer_ad3ca70ad7,False,
ring_717f60762d,shared_infra_promo_abuse,easy,customer_a9eca538bb,False,
ring_717f60762d,shared_infra_promo_abuse,easy,customer_0470042629,False,
ring_717f60762d,shared_infra_promo_abuse,easy,customer_81ea11a79c,False,
ring_717f60762d,shared_infra_promo_abuse,easy,customer_28cbd9877e,False,
ring_717f60762d,shared_infra_promo_abuse,easy,customer_2843735079,False,
ring_719a5809ff,shared_infra_promo_abuse,medium,customer_02c0c7366d,False,
ring_719a5809ff,shared_infra_promo_abuse,medium,customer_4730399613,False,
ring_719a5809ff,shared_infra_promo_abuse,medium,customer_ae71b07b05,False,
ring_719a5809ff,shared_infra_promo_abuse,medium,customer_7cf508ded0,False,
ring_719a5809ff,shared_infra_promo_abuse,medium,customer_5deadec8b0,False,
ring_719a5809ff,shared_infra_promo_abuse,medium,customer_4346239d2d,False,
ring_719a5809ff,shared_infra_promo_abuse,medium,customer_99f80a5143,False,
ring_719a5809ff,shared_infra_promo_abuse,medium,customer_66de06aa9f,False,
ring_719a5809ff,shared_infra_promo_abuse,medium,customer_60e7d3ba6f,False,
ring_8d0361ec2c,shared_infra_promo_abuse,medium,customer_49b9c58f9e,False,
ring_8d0361ec2c,shared_infra_promo_abuse,medium,customer_ddec4b9aad,False,
ring_8d0361ec2c,shared_infra_promo_abuse,medium,customer_f9ae5837ec,False,
ring_8d0361ec2c,shared_infra_promo_abuse,medium,customer_698aeca592,False,
ring_8d0361ec2c,shared_infra_promo_abuse,medium,customer_32e0ad2811,False,
ring_8d0361ec2c,shared_infra_promo_abuse,medium,customer_c9f62eea6b,False,
ring_8d0361ec2c,shared_infra_promo_abuse,medium,customer_f806232936,False,
ring_8d0361ec2c,shared_infra_promo_abuse,medium,customer_5c40e4797b,False,
ring_8d0361ec2c,shared_infra_promo_abuse,medium,customer_ee49ce4677,False,
ring_8d0361ec2c,shared_infra_promo_abuse,medium,customer_360bb8a8da,False,
ring_8d0361ec2c,shared_infra_promo_abuse,medium,customer_3f100b24b8,False,
ring_c4e2a58a61,shared_infra_promo_abuse,medium,customer_b6035c7cd3,False,
ring_c4e2a58a61,shared_infra_promo_abuse,medium,customer_4d59686ea1,False,
ring_c4e2a58a61,shared_infra_promo_abuse,medium,customer_16f545926d,False,
ring_c4e2a58a61,shared_infra_promo_abuse,medium,customer_37b77542d4,False,
ring_c4e2a58a61,shared_infra_promo_abuse,medium,customer_70c43561e4,False,
ring_c4e2a58a61,shared_infra_promo_abuse,medium,customer_af1b051691,False,
ring_c4e2a58a61,shared_infra_promo_abuse,medium,customer_a1663e5c83,False,
ring_c4e2a58a61,shared_infra_promo_abuse,medium,customer_c13c1f48c2,False,
ring_c4e2a58a61,shared_infra_promo_abuse,medium,customer_b31de3c9c2,False,
ring_f6d426abee,shared_infra_promo_abuse,hard,customer_099d094ec0,False,
ring_f6d426abee,shared_infra_promo_abuse,hard,customer_d9e6734414,False,
ring_f6d426abee,shared_infra_promo_abuse,hard,customer_27a7d3a85d,False,
ring_f6d426abee,shared_infra_promo_abuse,hard,customer_de20564c54,False,
ring_f6d426abee,shared_infra_promo_abuse,hard,customer_dbb0bffb39,False,
ring_f6d426abee,shared_infra_promo_abuse,hard,customer_97ec77bf63,False,
ring_f6d426abee,shared_infra_promo_abuse,hard,customer_b5a1a72d47,False,
ring_f6d426abee,shared_infra_promo_abuse,hard,customer_e2f4822439,False,
ring_f6d426abee,shared_infra_promo_abuse,hard,customer_f087c73111,False,
ring_f6d426abee,shared_infra_promo_abuse,hard,customer_f2261b41f9,False,
ring_582439090f,shared_infra_promo_abuse,hard,customer_4d6883715e,False,
ring_582439090f,shared_infra_promo_abuse,hard,customer_0ed960f23b,False,
ring_582439090f,shared_infra_promo_abuse,hard,customer_eb1814c148,False,
ring_582439090f,shared_infra_promo_abuse,hard,customer_b5d308f644,False,
ring_582439090f,shared_infra_promo_abuse,hard,customer_2760ece6bf,False,
ring_582439090f,shared_infra_promo_abuse,hard,customer_b4e72738c9,False,
ring_582439090f,shared_infra_promo_abuse,hard,customer_ad4b028614,False,
ring_582439090f,shared_infra_promo_abuse,hard,customer_9c5e75547d,False,
ring_17b61ea20b,circular_flow_laundering,easy,merchant_c0add14608,False,
ring_17b61ea20b,circular_flow_laundering,easy,merchant_1a80903d20,False,
ring_17b61ea20b,circular_flow_laundering,easy,merchant_f9b4900483,False,
ring_17b61ea20b,circular_flow_laundering,easy,merchant_652c0d6a9a,False,
ring_0cc89dfe6d,circular_flow_laundering,easy,merchant_b486df666d,False,
ring_0cc89dfe6d,circular_flow_laundering,easy,merchant_1a44172bc3,False,
ring_0cc89dfe6d,circular_flow_laundering,easy,merchant_441826b109,False,
ring_0cc89dfe6d,circular_flow_laundering,easy,merchant_2b741e4369,False,
ring_0ae3345489,circular_flow_laundering,medium,merchant_eea28dee9d,False,
